id,fi,sv,en
"01","Ahvenanmaan maakunta","Landskapet Åland","Åland"
"02","Etelä-Karjala","Södra Karelen","South Karelia"
"03","Etelä-Pohjanmaa","Södra Österbotten","Southern Ostrobothnia"
"04","Etelä-Savo","Södra Savolax","Southern Savonia"
"05","Kainuu","Kajanaland","Kainuu"
"06","Kanta-Häme","Egentliga Tavastland","Tavastia Proper"
"07","Keski-Pohjanmaa","Mellersta Österbotten","Central Ostrobothnia"
"08","Keski-Suomi","Mellersta Finland","Central Finland"
"09","Kymenlaakso","Kymmenedalen","Kymenlaakso"
"10","Lappi","Lappland","Lapland"
"11","Pirkanmaa","Birkaland","Pirkanmaa"
"12","Pohjanmaa","Österbotten","Ostrobothnia"
"13","Pohjois-Karjala","Norra Karelen","North Karelia"
"14","Pohjois-Pohjanmaa","Norra Österbotten","Northern Ostrobothnia"
"15","Pohjois-Savo","Norra Savolax","Northern Savonia"
"16","Päijät-Häme","Päijänne-Tavastland","Päijänne Tavastia"
"17","Satakunta","Satakunda","Satakunta"
"18","Uusimaa","Nyland","Uusimaa"
"19","Varsinais-Suomi","Egentliga Finland","Southwest Finland"
